,time,open,close,high,low,MA10,Delta,Range,Unit Size,Tradesize,Margin Used,StratProfit,Strat_Balance,WinLoss,Win,Loss,Strat_Returns_pct,StratDrawdown,bhBalance,bhDrawdown,bhreturnpct
36,2010-07-08 21:00:00+00:00,1.26974,1.26409,1.27222,1.26088,1.261276,-0.005650000000000155,0.011339999999999906,50000,63204.5,1264.09,-282.50000000000773,10930.499999999989,Loss,0.0,-282.50000000000773,9.304999999999897,14947.500000000025,12640.9,2189.199999999999,0.26408999999999994
37,2010-07-09 21:00:00+00:00,1.26402,1.26402,1.26402,1.26402,1.262794,0.0,0.0,50000,63200.99999999999,1264.02,0.0,10930.499999999989,Loss,0.0,0.0,9.304999999999897,14947.500000000025,12640.199999999999,2189.8999999999996,0.26401999999999987
38,2010-07-10 21:00:00+00:00,1.2641,1.2637,1.26429,1.26167,1.264866,-0.00039999999999995595,0.0026199999999998447,50000,63185.0,1263.7,-19.999999999997797,10910.49999999999,Loss,0.0,-19.999999999997797,9.104999999999919,14967.500000000024,12637.0,2193.0999999999985,0.2637
42,2010-07-14 21:00:00+00:00,1.2743,1.29496,1.29546,1.2708,1.266838,0.020660000000000123,0.024660000000000126,50000,64748.00000000001,1294.9600000000003,1033.0000000000061,11943.499999999998,Win,1033.0000000000061,0.0,19.43499999999998,13934.500000000016,12949.6,1880.4999999999982,0.29496000000000006
43,2010-07-15 21:00:00+00:00,1.29492,1.29298,1.3007,1.28898,1.273002,-0.0019400000000000528,0.011719999999999953,50000,64649.0,1292.98,-97.00000000000264,11846.499999999995,Loss,0.0,-97.00000000000264,18.464999999999954,14031.50000000002,12929.8,1900.2999999999993,0.2929799999999999
44,2010-07-16 21:00:00+00:00,1.29304,1.29344,1.29344,1.29304,1.2788439999999999,0.00039999999999995595,0.00039999999999995595,50000,64671.99999999999,1293.4399999999998,19.999999999997797,11866.499999999993,Win,19.999999999997797,0.0,18.66499999999993,14011.500000000022,12934.4,1895.699999999999,0.29344
45,2010-07-17 21:00:00+00:00,1.2927,1.29082,1.2927,1.29015,1.28546,-0.0018799999999998818,0.0025500000000000522,50000,64541.00000000001,1290.8200000000002,-93.99999999999409,11772.499999999998,Loss,0.0,-93.99999999999409,17.72499999999999,14105.500000000016,12908.2,1921.8999999999978,0.2908200000000001
46,2010-07-18 21:00:00+00:00,1.29079,1.29422,1.29922,1.28707,1.28915,0.003429999999999822,0.012150000000000105,50000,64710.99999999999,1294.2199999999998,171.4999999999911,11943.999999999989,Win,171.4999999999911,0.0,19.439999999999902,13934.000000000025,12942.199999999999,1887.8999999999996,0.29421999999999987
47,2010-07-19 21:00:00+00:00,1.29426,1.28801,1.30284,1.28392,1.293142,-0.006249999999999867,0.018920000000000048,50000,64400.50000000001,1288.0100000000002,-312.49999999999335,11631.499999999996,Loss,0.0,-312.49999999999335,16.31499999999997,14246.500000000018,12880.1,1949.9999999999982,0.28801000000000004
48,2010-07-20 21:00:00+00:00,1.2881,1.27538,1.2913,1.2733,1.291778,-0.012720000000000065,0.017999999999999794,50000,63769.0,1275.38,-636.0000000000032,10995.499999999993,Loss,0.0,-636.0000000000032,9.954999999999936,14882.500000000022,12753.8,2076.2999999999993,0.2753799999999999
51,2010-07-23 21:00:00+00:00,1.29101,1.29031,1.29101,1.29031,1.287592,-0.0006999999999999229,0.0006999999999999229,50000,64515.5,1290.31,-34.99999999999615,10960.499999999996,Loss,0.0,-34.99999999999615,9.604999999999976,14917.500000000018,12903.1,1926.9999999999982,0.29031
52,2010-07-24 21:00:00+00:00,1.29025,1.2891,1.29155,1.28576,1.2867899999999999,-0.0011499999999999844,0.005789999999999962,50000,64454.99999999999,1289.1,-57.49999999999922,10902.999999999998,Loss,0.0,-57.49999999999922,9.029999999999983,14975.000000000016,12891.0,1939.0999999999985,0.2891
53,2010-07-25 21:00:00+00:00,1.28918,1.29948,1.30054,1.28752,1.2870059999999999,0.010299999999999976,0.013020000000000032,50000,64974.0,1299.48,514.9999999999987,11417.999999999996,Win,514.9999999999987,0.0,14.179999999999971,14460.000000000018,12994.8,1835.2999999999993,0.2994799999999999
54,2010-07-26 21:00:00+00:00,1.29957,1.2996,1.30462,1.29524,1.291852,3.0000000000196536e-05,0.009379999999999944,50000,64980.00000000001,1299.6000000000001,1.5000000000098268,11419.500000000007,Win,1.5000000000098268,0.0,14.195000000000068,14458.500000000007,12996.0,1834.0999999999985,0.2996
55,2010-07-27 21:00:00+00:00,1.29965,1.29953,1.3042,1.29667,1.2939319999999999,-0.00011999999999989797,0.007530000000000037,50000,64976.50000000001,1299.5300000000002,-5.999999999994898,11413.500000000011,Loss,0.0,-5.999999999994898,14.135000000000119,14464.500000000004,12995.300000000001,1834.7999999999975,0.29953000000000013
56,2010-07-28 21:00:00+00:00,1.29961,1.30786,1.31064,1.29778,1.295652,0.00825000000000009,0.012860000000000094,50000,65393.0,1307.8600000000001,412.50000000000455,11826.000000000016,Win,412.50000000000455,0.0,18.260000000000165,14051.999999999998,13078.6,1751.4999999999982,0.30786
57,2010-07-29 21:00:00+00:00,1.30738,1.30506,1.30936,1.2981,1.2990780000000002,-0.0023199999999998777,0.011260000000000048,50000,65253.00000000001,1305.0600000000002,-115.99999999999389,11710.000000000022,Loss,0.0,-115.99999999999389,17.100000000000225,14167.999999999993,13050.6,1779.4999999999982,0.30506000000000005
