Price,Close,High,Low,Open,Volume
Ticker,MYM=F,MYM=F,MYM=F,MYM=F,MYM=F
Date,,,,,
2020-12-04,30198.0,30218.0,29934.0,29937.0,86203
2020-12-07,30057.0,30265.0,29955.0,30174.0,87148
2020-12-08,30170.0,30237.0,29852.0,29994.0,100522
2020-12-09,30063.0,30330.0,29947.0,30198.0,209256
2020-12-10,30010.0,30149.0,29867.0,30062.0,141423
2020-12-11,30033.0,30088.0,29720.0,30043.0,60686
2020-12-14,29865.0,30327.0,29849.0,30110.0,34482
2020-12-15,30203.0,30242.0,29840.0,29917.0,23278
2020-12-16,30161.0,30325.0,30083.0,30217.0,20981
2020-12-17,30293.0,30336.0,30150.0,30190.0,13738
2020-12-18,30363.0,30363.0,30171.0,30305.0,151781
2020-12-21,30113.0,30331.0,29318.0,30300.0,282354
2020-12-22,29912.0,30150.0,29880.0,30084.0,130190
2020-12-23,30034.0,30183.0,29735.0,29936.0,102321
2020-12-24,30109.0,30150.0,29998.0,30071.0,44355
2020-12-28,30305.0,30418.0,29966.0,30029.0,90032
2020-12-29,30238.0,30502.0,30166.0,30329.0,110677
2020-12-30,30302.0,30415.0,30210.0,30270.0,87150
2020-12-31,30497.0,30526.0,30228.0,30334.0,81092
2021-01-04,30104.0,30693.0,29759.0,30480.0,413178
2021-01-05,30285.0,30395.0,29975.0,30117.0,220976
2021-01-06,30720.0,30911.0,30154.0,30285.0,320478
2021-01-07,30942.0,31087.0,30697.0,30756.0,146231
2021-01-08,30993.0,31148.0,30688.0,30945.0,162718
2021-01-11,30902.0,31032.0,30636.0,30988.0,138539
2021-01-12,30974.0,31013.0,30778.0,30930.0,122393
2021-01-13,30959.0,31063.0,30869.0,30962.0,107689
2021-01-14,30909.0,31116.0,30882.0,30977.0,95607
2021-01-15,30720.0,30958.0,30506.0,30913.0,160853
2021-01-19,30828.0,30982.0,30608.0,30630.0,134432
2021-01-20,31096.0,31134.0,30771.0,30838.0,108602
2021-01-21,31082.0,31188.0,31015.0,31067.0,92563
2021-01-22,30909.0,31085.0,30781.0,31061.0,100865
2021-01-25,30868.0,31014.0,30456.0,30915.0,166490
2021-01-26,30842.0,31018.0,30666.0,30854.0,110792
2021-01-27,30189.0,30885.0,30050.0,30847.0,321140
2021-01-28,30507.0,30842.0,29948.0,30181.0,234947
2021-01-29,29879.0,30522.0,29755.0,30440.0,372917
2021-02-01,30110.0,30235.0,29551.0,29816.0,172850
2021-02-02,30586.0,30738.0,30069.0,30120.0,131948
2021-02-03,30627.0,30709.0,30413.0,30609.0,111220
2021-02-04,30950.0,30987.0,30542.0,30695.0,87938
2021-02-05,31042.0,31150.0,30924.0,30968.0,84835
2021-02-08,31268.0,31297.0,31049.0,31124.0,81207
2021-02-09,31278.0,31341.0,31144.0,31295.0,73942
2021-02-10,31328.0,31451.0,31118.0,31316.0,122850
2021-02-11,31359.0,31466.0,31168.0,31379.0,105687
2021-02-12,31397.0,31422.0,31215.0,31339.0,73527
2021-02-16,31458.0,31662.0,31373.0,31426.0,123943
2021-02-17,31549.0,31588.0,31278.0,31472.0,117411
2021-02-18,31431.0,31640.0,31227.0,31553.0,120863
2021-02-19,31433.0,31583.0,31301.0,31436.0,95688
2021-02-22,31466.0,31593.0,31191.0,31452.0,128095
2021-02-23,31492.0,31617.0,31103.0,31498.0,187453
2021-02-24,31916.0,31968.0,31322.0,31496.0,160114
2021-02-25,31371.0,32034.0,31247.0,31935.0,208899
2021-02-26,30912.0,31457.0,30803.0,31331.0,280752
2021-03-01,31509.0,31638.0,30934.0,30975.0,141551
2021-03-02,31358.0,31588.0,31281.0,31555.0,155222
2021-03-03,31236.0,31610.0,31217.0,31375.0,183642
2021-03-04,30878.0,31435.0,30514.0,31245.0,300774
2021-03-05,31465.0,31545.0,30640.0,30899.0,281227
2021-03-08,31776.0,32113.0,31287.0,31561.0,220085
2021-03-09,31811.0,32119.0,31791.0,31891.0,128842
2021-03-10,32279.0,32373.0,31726.0,31858.0,148819
2021-03-11,32479.0,32642.0,32254.0,32359.0,112529
2021-03-12,32772.0,32821.0,32389.0,32485.0,65069
2021-03-15,32957.0,32967.0,32624.0,32830.0,40146
2021-03-16,32835.0,32973.0,32775.0,32954.0,22239
2021-03-17,33017.0,33050.0,32780.0,32854.0,26478
2021-03-18,32880.0,33233.0,32840.0,33028.0,29256
2021-03-19,32808.0,33007.0,32808.0,32887.0,164966
2021-03-22,32619.0,32689.0,32314.0,32495.0,103941
2021-03-23,32306.0,32686.0,32234.0,32648.0,117927
2021-03-24,32319.0,32668.0,32231.0,32348.0,141852
2021-03-25,32501.0,32568.0,31951.0,32355.0,191742
2021-03-26,32954.0,32983.0,32496.0,32553.0,143718
2021-03-29,33032.0,33133.0,32746.0,32957.0,170445
2021-03-30,32925.0,33128.0,32859.0,33061.0,143211
2021-03-31,32898.0,33046.0,32866.0,32933.0,111931
2021-04-01,33037.0,33060.0,32842.0,32908.0,105387
2021-04-05,33415.0,33504.0,33157.0,33218.0,80329
2021-04-06,33315.0,33453.0,33266.0,33422.0,109349
2021-04-07,33328.0,33407.0,33233.0,33329.0,96954
2021-04-08,33390.0,33465.0,33227.0,33340.0,83179
