Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Datetime,,,,,
2025-11-16 23:10:00+00:00,25085.0,25086.0,25056.5,25073.25,0
2025-11-16 23:11:00+00:00,25093.5,25098.0,25083.25,25084.25,1283
2025-11-16 23:12:00+00:00,25097.25,25104.75,25087.5,25092.5,1223
2025-11-16 23:13:00+00:00,25101.75,25103.5,25091.75,25096.25,713
2025-11-16 23:14:00+00:00,25099.0,25103.25,25098.25,25101.0,485
2025-11-16 23:15:00+00:00,25098.75,25102.25,25091.0,25099.5,808
2025-11-16 23:16:00+00:00,25116.0,25117.25,25098.5,25098.5,1372
2025-11-16 23:17:00+00:00,25122.25,25127.0,25114.75,25115.0,1427
2025-11-16 23:18:00+00:00,25123.75,25131.75,25117.5,25122.0,854
2025-11-16 23:19:00+00:00,25130.75,25131.25,25123.0,25123.75,644
2025-11-16 23:20:00+00:00,25138.25,25140.0,25129.75,25131.25,1117
2025-11-16 23:21:00+00:00,25141.5,25145.0,25132.25,25136.75,1060
2025-11-16 23:22:00+00:00,25143.5,25147.0,25140.25,25141.5,771
2025-11-16 23:23:00+00:00,25133.0,25143.5,25132.0,25142.75,982
2025-11-16 23:24:00+00:00,25141.75,25143.25,25133.25,25133.25,574
2025-11-16 23:25:00+00:00,25144.5,25146.5,25136.0,25141.5,813
2025-11-16 23:26:00+00:00,25145.75,25154.75,25140.5,25143.75,958
2025-11-16 23:27:00+00:00,25139.75,25146.75,25137.25,25145.75,694
2025-11-16 23:28:00+00:00,25142.0,25146.75,25139.0,25139.75,486
2025-11-16 23:29:00+00:00,25134.5,25142.0,25127.25,25142.0,1188
2025-11-16 23:30:00+00:00,25146.75,25149.0,25132.0,25134.25,1115
2025-11-16 23:31:00+00:00,25139.5,25146.5,25135.75,25146.5,524
2025-11-16 23:32:00+00:00,25159.25,25161.5,25140.0,25140.5,1303
2025-11-16 23:33:00+00:00,25150.5,25159.0,25148.0,25159.0,1063
2025-11-16 23:34:00+00:00,25145.75,25153.25,25144.25,25150.25,696
2025-11-16 23:35:00+00:00,25165.25,25169.5,25145.5,25145.75,1044
2025-11-16 23:36:00+00:00,25178.5,25179.5,25161.25,25165.25,2079
2025-11-16 23:37:00+00:00,25178.0,25182.75,25173.75,25178.5,1166
2025-11-16 23:38:00+00:00,25168.25,25178.75,25167.25,25178.75,883
2025-11-16 23:39:00+00:00,25170.75,25173.5,25162.25,25168.25,811
2025-11-16 23:40:00+00:00,25172.25,25174.5,25167.5,25170.75,494
2025-11-16 23:41:00+00:00,25170.5,25175.75,25168.0,25172.25,447
2025-11-16 23:42:00+00:00,25167.75,25174.75,25167.25,25170.5,284
2025-11-16 23:43:00+00:00,25166.25,25169.75,25163.5,25167.5,638
2025-11-16 23:44:00+00:00,25167.25,25170.75,25164.0,25166.0,348
2025-11-16 23:45:00+00:00,25167.0,25170.5,25164.5,25168.0,542
2025-11-16 23:46:00+00:00,25168.25,25172.25,25165.25,25167.5,509
2025-11-16 23:47:00+00:00,25175.0,25179.75,25167.75,25167.75,540
2025-11-16 23:48:00+00:00,25172.25,25176.25,25169.75,25174.25,463
2025-11-16 23:49:00+00:00,25166.0,25174.0,25162.5,25172.5,533
2025-11-16 23:50:00+00:00,25167.5,25173.5,25157.75,25165.75,1076
2025-11-16 23:51:00+00:00,25173.0,25174.0,25163.75,25168.0,365
2025-11-16 23:52:00+00:00,25165.5,25172.75,25165.25,25172.75,363
2025-11-16 23:53:00+00:00,25176.75,25177.0,25165.5,25165.75,469
2025-11-16 23:54:00+00:00,25186.5,25188.75,25170.75,25176.75,1352
2025-11-16 23:55:00+00:00,25183.5,25188.0,25181.0,25187.25,656
2025-11-16 23:56:00+00:00,25180.0,25184.0,25174.25,25183.25,541
2025-11-16 23:57:00+00:00,25174.0,25182.25,25173.25,25180.75,369
2025-11-16 23:58:00+00:00,25168.75,25173.5,25166.25,25173.5,664
2025-11-16 23:59:00+00:00,25170.0,25177.5,25168.5,25169.5,424
2025-11-17 00:00:00+00:00,25180.0,25182.5,25168.75,25169.5,901
2025-11-17 00:01:00+00:00,25182.25,25184.25,25169.0,25180.75,728
2025-11-17 00:02:00+00:00,25174.0,25182.0,25170.25,25182.0,698
2025-11-17 00:03:00+00:00,25183.0,25185.5,25174.0,25174.25,576
2025-11-17 00:04:00+00:00,25180.75,25182.25,25175.0,25182.25,359
2025-11-17 00:05:00+00:00,25178.5,25184.5,25175.25,25180.5,451
2025-11-17 00:06:00+00:00,25164.75,25178.75,25163.5,25178.75,981
2025-11-17 00:07:00+00:00,25160.25,25168.5,25151.75,25165.0,1619
2025-11-17 00:08:00+00:00,25146.75,25163.0,25140.5,25161.0,1382
2025-11-17 00:09:00+00:00,25141.5,25152.25,25140.75,25148.25,1126
2025-11-17 00:10:00+00:00,25135.25,25143.75,25127.0,25142.75,2013
2025-11-17 00:11:00+00:00,25152.25,25158.5,25133.75,25134.75,1636
2025-11-17 00:12:00+00:00,25137.5,25158.5,25135.0,25151.5,1248
2025-11-17 00:13:00+00:00,25139.75,25143.75,25129.25,25136.75,948
2025-11-17 00:14:00+00:00,25147.0,25150.75,25140.25,25140.25,765
2025-11-17 00:15:00+00:00,25128.0,25149.5,25127.0,25146.5,979
2025-11-17 00:16:00+00:00,25124.75,25129.0,25114.5,25128.5,2084
2025-11-17 00:17:00+00:00,25140.75,25143.25,25124.75,25124.75,1271
2025-11-17 00:18:00+00:00,25132.75,25145.75,25131.75,25140.75,921
2025-11-17 00:19:00+00:00,25130.5,25136.5,25122.75,25132.25,903
2025-11-17 00:20:00+00:00,25140.5,25141.25,25123.75,25131.25,654
2025-11-17 00:21:00+00:00,25126.5,25141.75,25126.25,25139.75,794
2025-11-17 00:22:00+00:00,25118.0,25127.5,25113.5,25127.25,1250
2025-11-17 00:23:00+00:00,25131.5,25132.75,25114.25,25118.75,1023
2025-11-17 00:24:00+00:00,25123.25,25134.75,25123.25,25131.5,581
2025-11-17 00:25:00+00:00,25134.75,25139.0,25123.0,25123.25,886
2025-11-17 00:26:00+00:00,25141.5,25144.0,25132.25,25135.25,1131
2025-11-17 00:27:00+00:00,25158.5,25159.5,25140.5,25141.75,1364
2025-11-17 00:28:00+00:00,25177.0,25179.25,25151.75,25157.75,2211
2025-11-17 00:29:00+00:00,25180.75,25180.75,25171.5,25177.5,1094
2025-11-17 00:30:00+00:00,25210.75,25211.5,25177.5,25180.25,3463
2025-11-17 00:31:00+00:00,25209.75,25210.5,25200.75,25210.25,1589
2025-11-17 00:32:00+00:00,25221.75,25224.0,25206.25,25210.25,2168
2025-11-17 00:33:00+00:00,25221.75,25227.0,25211.75,25221.25,1705
2025-11-17 00:34:00+00:00,25232.0,25237.0,25213.75,25221.25,1789
2025-11-17 00:35:00+00:00,25234.25,25239.5,25220.0,25232.0,1499
2025-11-17 00:36:00+00:00,25233.25,25235.75,25226.5,25234.5,833
2025-11-17 00:37:00+00:00,25230.5,25236.25,25226.75,25232.5,654
2025-11-17 00:38:00+00:00,25236.5,25237.5,25225.5,25230.25,826
2025-11-17 00:39:00+00:00,25236.25,25241.0,25234.5,25237.25,676
2025-11-17 00:40:00+00:00,25232.0,25237.5,25228.0,25236.5,1107
2025-11-17 00:41:00+00:00,25230.0,25238.0,25229.75,25232.25,577
2025-11-17 00:42:00+00:00,25232.5,25235.0,25225.25,25230.25,664
2025-11-17 00:43:00+00:00,25229.5,25233.25,25223.0,25232.25,877
2025-11-17 00:44:00+00:00,25225.5,25230.5,25216.5,25229.75,806
2025-11-17 00:45:00+00:00,25228.25,25231.0,25224.0,25224.75,729
2025-11-17 00:46:00+00:00,25227.5,25233.75,25225.0,25229.0,660
2025-11-17 00:47:00+00:00,25232.0,25232.5,25225.5,25227.75,361
2025-11-17 00:48:00+00:00,25234.0,25237.25,25229.75,25231.75,647
2025-11-17 00:49:00+00:00,25237.25,25244.25,25232.75,25234.0,893
2025-11-17 00:50:00+00:00,25235.25,25240.75,25230.0,25237.25,785
2025-11-17 00:51:00+00:00,25234.25,25235.25,25227.75,25235.25,548
2025-11-17 00:52:00+00:00,25235.5,25241.75,25232.0,25234.25,630
2025-11-17 00:53:00+00:00,25235.0,25240.0,25232.75,25234.5,390
2025-11-17 00:54:00+00:00,25231.25,25237.5,25229.0,25234.75,399
2025-11-17 00:55:00+00:00,25234.75,25235.0,25225.75,25230.5,518
2025-11-17 00:56:00+00:00,25233.75,25238.5,25232.75,25235.75,293
2025-11-17 00:57:00+00:00,25233.0,25234.0,25226.75,25234.0,516
2025-11-17 00:58:00+00:00,25232.0,25237.75,25231.0,25232.75,541
2025-11-17 00:59:00+00:00,25231.0,25236.0,25229.25,25232.75,391
2025-11-17 01:00:00+00:00,25227.5,25236.5,25222.5,25231.0,1474
2025-11-17 01:01:00+00:00,25223.0,25234.75,25220.25,25227.5,1085
2025-11-17 01:02:00+00:00,25227.0,25229.0,25222.5,25222.5,827
2025-11-17 01:03:00+00:00,25217.0,25226.75,25213.5,25226.75,1183
