Datetime,Open,High,Low,Close,Adj Close,Volume,10DayMAvg,PrevClose,Condition,PNL,Returns,Balance,Peak,Drawdown
2023-11-17 16:00:00+00:00,1.0892059803009033,1.0892059803009033,1.0877841711044312,1.088139295578003,1.088139295578003,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-17 17:00:00+00:00,1.0882576704025269,1.0893245935440063,1.088139295578003,1.0893245935440063,1.0893245935440063,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-17 18:00:00+00:00,1.0894432067871094,1.0907504558563232,1.0892059803009033,1.0906314849853516,1.0906314849853516,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-17 19:00:00+00:00,1.0905125141143799,1.0905125141143799,1.0899182558059692,1.0903936624526978,1.0903936624526978,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-17 20:00:00+00:00,1.090274691581726,1.091226577758789,1.0900371074676514,1.0911074876785278,1.0911074876785278,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-17 21:00:00+00:00,1.0909883975982666,1.0918222665786743,1.0907504558563232,1.0917030572891235,1.0917030572891235,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-17 22:00:00+00:00,1.0917030572891235,1.0917030572891235,1.0917030572891235,1.0917030572891235,1.0917030572891235,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 00:00:00+00:00,1.0907504558563232,1.090869426727295,1.0900371074676514,1.0903936624526978,1.0903936624526978,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 01:00:00+00:00,1.0905125141143799,1.0913456678390503,1.0905125141143799,1.091226577758789,1.091226577758789,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 02:00:00+00:00,1.091226577758789,1.0926573276519775,1.0911074876785278,1.0925379991531372,1.0925379991531372,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 03:00:00+00:00,1.0925379991531372,1.0927767753601074,1.0920606851577759,1.0927767753601074,1.0927767753601074,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 04:00:00+00:00,1.0927767753601074,1.0937328338623047,1.0925379991531372,1.0925379991531372,1.0925379991531372,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 05:00:00+00:00,1.0925379991531372,1.0930156707763672,1.0921800136566162,1.0921800136566162,1.0921800136566162,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 06:00:00+00:00,1.0924185514450073,1.0925379991531372,1.091941475868225,1.0920606851577759,1.0920606851577759,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 07:00:00+00:00,1.091941475868225,1.0922993421554565,1.0917030572891235,1.0918222665786743,1.0918222665786743,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 08:00:00+00:00,1.0920606851577759,1.093135118484497,1.091941475868225,1.0922993421554565,1.0922993421554565,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 09:00:00+00:00,1.0922993421554565,1.0943313837051392,1.0922993421554565,1.0939722061157227,1.0939722061157227,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 10:00:00+00:00,1.0937328338623047,1.0938525199890137,1.0925379991531372,1.0930156707763672,1.0930156707763672,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 11:00:00+00:00,1.0928961038589478,1.093135118484497,1.0924185514450073,1.0925379991531372,1.0925379991531372,0,,,0,0.0,0.0,10000.0,10000.0,0.0
2023-11-20 12:00:00+00:00,1.0925379991531372,1.0932546854019165,1.0924185514450073,1.0932546854019165,1.0932546854019165,0,,,0,0.0,0.0,10000.0,10000.0,0.0
