entry_date,exit_date,entry_price,exit_price,pnl,returns
2020-01-07,2020-01-08,1.1195825338363647,1.1154738664627075,-41.086673736572266,-0.0041086673736572266
2020-01-17,2020-01-20,1.1116546392440796,1.1094592809677124,-21.953582763671875,-0.0021953582763671875
2020-01-23,2020-01-24,1.1096439361572266,1.1055220365524292,-41.21899604797363,-0.004121899604797363
2020-01-31,2020-02-03,1.102292776107788,1.1089794635772705,66.86687469482422,0.006686687469482422
2020-02-12,2020-02-13,1.0921800136566162,1.0875948667526245,-45.85146903991699,-0.004585146903991699
2020-02-20,2020-02-21,1.080964207649231,1.078799843788147,-21.643638610839844,-0.0021643638610839844
2020-02-26,2020-02-27,1.0838581323623657,1.0885894298553467,47.31297492980957,0.004731297492980957
2020-02-28,2020-03-02,1.0995535850524902,1.1051311492919922,55.77564239501953,0.005577564239501953
2020-03-05,2020-03-06,1.1144297122955322,1.1223849058151245,79.55193519592285,0.007955193519592285
2020-03-10,2020-03-11,1.1386150121688843,1.1316505670547485,-69.64445114135742,-0.006964445114135742
2020-03-17,2020-03-18,1.1163331270217896,1.101552128791809,-147.8099822998047,-0.014780998229980469
2020-03-23,2020-03-24,1.0687528848648071,1.0764610767364502,77.08191871643066,0.007708191871643066
2020-03-25,2020-03-26,1.0801235437393188,1.0889569520950317,88.3340835571289,0.00883340835571289
2020-03-27,2020-03-30,1.1046184301376343,1.113908290863037,92.89860725402832,0.009289860725402832
2020-04-08,2020-04-09,1.0894314050674438,1.0863661766052246,-30.652284622192383,-0.0030652284622192383
2020-04-14,2020-04-15,1.0925976037979126,1.098538875579834,59.41271781921387,0.005941271781921387
2020-04-22,2020-04-23,1.0866258144378662,1.080964207649231,-56.61606788635254,-0.005661606788635254
2020-04-29,2020-04-30,1.08236825466156,1.087725043296814,53.56788635253906,0.005356788635253906
2020-05-04,2020-05-05,1.0944750308990479,1.0904293060302734,-40.45724868774414,-0.004045724868774414
2020-05-11,2020-05-12,1.0836936235427856,1.080940842628479,-27.527809143066406,-0.0027527809143066406
2020-05-13,2020-05-14,1.0846339464187622,1.08236825466156,-22.656917572021484,-0.0022656917572021484
2020-05-18,2020-05-19,1.081946611404419,1.0915124416351318,95.6583023071289,0.00956583023071289
2020-05-20,2020-05-21,1.0930156707763672,1.0982975959777832,52.819252014160156,0.005281925201416016
2020-05-28,2020-05-29,1.098056435585022,1.1079105138778687,98.5407829284668,0.00985407829284668
2020-06-02,2020-06-03,1.1114568710327148,1.118943691253662,74.86820220947266,0.007486820220947266
2020-06-04,2020-06-05,1.123721718788147,1.1337867975234985,100.65078735351562,0.010065078735351562
2020-06-11,2020-06-12,1.1334141492843628,1.1288082599639893,-46.05889320373535,-0.004605889320373535
2020-06-16,2020-06-17,1.13379967212677,1.1265701055526733,-72.2956657409668,-0.00722956657409668
2020-06-24,2020-06-25,1.1277135610580444,1.1250872611999512,-26.262998580932617,-0.0026262998580932617
2020-07-06,2020-07-07,1.1224100589752197,1.1312856674194336,88.75608444213867,0.008875608444213867
2020-07-09,2020-07-10,1.1337867975234985,1.1287955045700073,-49.91292953491211,-0.004991292953491211
2020-07-14,2020-07-15,1.1308763027191162,1.1410704851150513,101.94182395935059,0.010194182395935059
2020-07-16,2020-07-17,1.1417349576950073,1.139211654663086,-25.233030319213867,-0.0025233030319213867
2020-07-21,2020-07-22,1.1439553499221802,1.15340256690979,94.47216987609863,0.009447216987609863
2020-07-24,2020-07-27,1.156671166419983,1.1652567386627197,85.85572242736816,0.008585572242736816
2020-07-28,2020-07-29,1.1766505241394043,1.171879529953003,-47.70994186401367,-0.004770994186401367
2020-07-30,2020-07-31,1.1786893606185913,1.1872254610061646,85.36100387573242,0.008536100387573242
2020-08-05,2020-08-06,1.1814883947372437,1.187281847000122,57.93452262878418,0.005793452262878418
2020-08-07,2020-08-10,1.1875073909759521,1.1782727241516113,-92.3466682434082,-0.00923466682434082
2020-08-12,2020-08-13,1.1739845275878906,1.179380178451538,53.95650863647461,0.005395650863647461
2020-08-17,2020-08-18,1.1818934679031372,1.1876484155654907,57.549476623535156,0.005754947662353516
2020-08-19,2020-08-20,1.1947288513183594,1.1843500137329102,-103.78837585449219,-0.010378837585449219
2020-08-21,2020-08-24,1.1870845556259155,1.1798018217086792,-72.82733917236328,-0.007282733917236328
2020-08-28,2020-08-31,1.1833338737487793,1.1918240785598755,84.90204811096191,0.008490204811096191
2020-09-02,2020-09-03,1.1939157247543335,1.184735894203186,-91.79830551147461,-0.009179830551147461
