Period (Days),High,Low,Range,Range (%)
3,2048.7733464733014,1991.371245227263,57.402101246038455,2.8825414338795228
5,2048.7733464733014,1953.4062857102647,95.36706076303676,4.88209040078731
10,2048.7733464733014,1861.6125116027622,187.16083487053925,10.05369450968088
20,2048.7733464733014,1764.418699429637,284.3546470436645,16.116052677042276
50,2048.7733464733014,1727.6817788154299,321.09156765787156,18.58511049864896
360,2900.5089645714456,1201.7286962334065,1698.7802683380391,141.36137995726887
